id,stop_name,is_deleted
1,North Stop,1
2,South Stop,1
3,West Entrance,1
4,Robert Bell,1
5,Emens,1
6,Hilltop,1
7,AC,1
8,Library,1
9,Park,1
10,East Gate,1
11,New York & Riverside,0
12,Linden & Wayne St,0
13,Stu West,1
14,Emens,0
15,Linden & Riverside,0
16,Neely & Linden St,0
17,Elliott Dining,0
18,Studebaker West,0
19,Irving Gym,0
20,Worthen Arena,0
21,Letterman Bldg,0
22,Mck Pkg Garage,1
23,Anthony Apts,0
24,North Quad,0
25,Bracken Library,1
26,Robert Bell,0
27,EB Ball Center,0
28,Scheidler Apts,0
29,Health Center,0
30,Woodworth,0
31,Kitselman Center,0
32,Multicultural Cntr,0
33,Arts & Comm,0
34,Noyer,0
35,Ball Comm,0
36,Pruis Hall,0
37,Child Study,0
38,Studebaker East,0
39,Field Sports Bldg,0
40,Teachers College,0
41,Botswin Swinford,1
42,LewellenPool,0
43,EF Ball Med Cntr,0
44,Fine Arts Museum,0
45,Police Dept,0
46,Carmichael,1
47,Student Rec Cntr,0
48,Elliott Hall,0
49,Service & Stores,0
50,Human Perf Lab,0
51,West Quad,0
52,LaFollette,0
53,Music Instr Bldg,0
54,Art & Journalism,0
55,Emens Pkg Gar,0
56,Ball Gym,0
57,Park Hall,0
58,DeHority,0
59,SC Pkg Garage,0
60,Fball Training Cntr,0
61,Whitinger,0
62,Schmidt Wilson,1
63,Lucina Hall,0
64,Architecture,0
65,Hargreaves Music,0
66,Applied Tech,0
67,Peace Conflict,0
68,Cooper,0
69,Student Center,0
70,LaFollette N-B,1
71,SR-1,0
72,LaFollette N-B,0
73,Music,0
74,Alumni,0
75,Baseball #1,0
76,South Shelter,0
77,North Shelter S-B,0
78,SR-2,0
79,AJ,0
80,Shaffer Tower N-B,0
81,Shaffer Tower S-B,0
82,Anthony S-B,0
83,Ashland,0
84,Anthony N-B,0
85,SR-3,0
86,Burkhardt,0
87,Baseball #2,0
88,North Shelter N-B,0
89,Oakwood Bldg,0
90,Emmens,1
91,South Shelter N-B,0
92,Stadium,0
93,North Shelter,0
94,Store,1
95,North,1
96,South Stop,0
97,Rec Center,0
98,Health Professions,0
99,Kinghorn,0
100,MyStop,1
101,Glick Glass Center ,0
102,Ball Memorial Hospital ,0
103,Ball Honors House,1
104,C-3 Parking Lot,0
105,C-5 Parking Lot ,0
106,C-6 Parking Lot ,0
107,Ball Honors House,0
108,Burris School,0
109,Indiana Academy,0
110,Bracken Library,0
111,Indiana Orthapedic,0
112,Rehab Center ,0
113,Administration Building,0
114,Family Medicine,0
115,Campus Edge,0
116,Parking Garage - New York ,0
117,C-1 Parking Lot,0
118,North Dining Hall,0
119,North Residence Hall ,1
120,G1 Parking Lot,0
121,Bracken House,0
122,CAP,0
123,District Energy Station North,0
124,District Energy Station South,0
125,Showalter,0
126,Greenhouse,0
127,Grounds North ,0
128,Grounds South,0
129,Heat Plant,0
130,Honors House,0
131,University Theatre,0
132,Johnson A,0
133,Johnson B ,0
134,Northwest Residence Hall,1
135,Benadum Woods Picnic Shelter,0
136,Briner Sports Complex,0
137,Cardinal Creek Tennis Center,0
138,Lucina Tennis Courts,0
139,Schuemann Practice Facility,0
140,Varsity Baseball ,0
141,Varsity Softball,0
142,Yestingsmeier Golf Center,0
143,Parking Garage McKinnley,0
144,Parking Garage New York,0
145,Parking Garage Student Center,0
146,Police Dept,0
147,Beneficence,0
148,Chrsity Woods,0
149,Duck Ponds,0
150,Frog Baby Fountain,0
151,Shaffer Bell Tower,0
152,Foundational Science Building,0
153,Northwest Residence Hall,1
154,North Residence,0
155,Northwest Residence Hall ,0
